step,actic loss,critic loss,average distance,time
2660,-0.3151,0.4581,3.4675,0min0sec
2670,-0.3140,0.4566,3.4656,0min0sec
2680,-0.3129,0.4551,3.4638,0min0sec
2690,-0.3118,0.4536,3.4619,0min0sec
2700,-0.3107,0.4521,3.4600,0min0sec
2710,-0.3097,0.4506,3.4582,0min0sec
2720,-0.3086,0.4492,3.4563,0min0sec
2730,-0.3075,0.4477,3.4545,0min0sec
2740,-0.3065,0.4463,3.4527,0min0sec
2750,-0.3054,0.4448,3.4508,0min0sec
2760,-0.3044,0.4434,3.4491,0min0sec
2770,-0.3033,0.4419,3.4472,0min0sec
2780,-0.3023,0.4405,3.4455,0min0sec
2790,-0.3013,0.4391,3.4437,0min0sec
2800,-0.3003,0.4378,3.4420,0min0sec
2810,-0.2993,0.4364,3.4403,0min0sec
2820,-0.2983,0.4350,3.4386,0min0sec
2830,-0.2973,0.4337,3.4369,0min0sec
2840,-0.2963,0.4323,3.4352,0min0sec
2850,-0.2954,0.4310,3.4335,0min0sec
2860,-0.2944,0.4297,3.4319,0min0sec
2870,-0.2935,0.4284,3.4302,0min0sec
2880,-0.2925,0.4270,3.4285,0min0sec
2890,-0.2916,0.4257,3.4269,0min0sec
2900,-0.2907,0.4244,3.4253,0min0sec
2910,-0.2897,0.4231,3.4237,0min0sec
2920,-0.2888,0.4218,3.4221,0min0sec
2930,-0.2879,0.4206,3.4205,0min0sec
2940,-0.2870,0.4193,3.4190,0min0sec
2950,-0.2861,0.4181,3.4174,0min0sec
2960,-0.2852,0.4168,3.4159,0min0sec
2970,-0.2843,0.4156,3.4143,0min0sec
2980,-0.2834,0.4144,3.4128,0min0sec
2990,-0.2825,0.4131,3.4113,0min0sec
3000,-0.2816,0.4119,3.4098,0min0sec
3010,-0.2808,0.4107,3.4083,0min0sec
3020,-0.2799,0.4095,3.4068,0min0sec
3030,-0.2790,0.4083,3.4054,0min0sec
3040,-0.2782,0.4071,3.4039,0min0sec
3050,-0.2773,0.4059,3.4024,0min0sec
3060,-0.2765,0.4047,3.4010,0min0sec
3070,-0.2756,0.4035,3.3995,0min0sec
3080,-0.2748,0.4024,3.3981,0min0sec
3090,-0.2740,0.4012,3.3967,0min0sec
3100,-0.2732,0.4000,3.3952,0min0sec
3110,-0.2724,0.3989,3.3938,0min0sec
3120,-0.2715,0.3978,3.3924,0min0sec
3130,-0.2707,0.3966,3.3910,0min0sec
3140,-0.2699,0.3955,3.3896,0min0sec
3150,-0.2691,0.3944,3.3882,0min0sec
3160,-0.2684,0.3933,3.3868,0min0sec
3170,-0.2676,0.3922,3.3854,0min0sec
3180,-0.2668,0.3911,3.3841,0min0sec
3190,-0.2660,0.3900,3.3827,0min0sec
3200,-0.2652,0.3889,3.3813,0min0sec
3210,-0.2645,0.3878,3.3800,0min0sec
3220,-0.2637,0.3867,3.3787,0min0sec
3230,-0.2629,0.3856,3.3774,0min0sec
3240,-0.2622,0.3846,3.3760,0min0sec
3250,-0.2614,0.3835,3.3747,0min0sec
3260,-0.2607,0.3825,3.3734,0min0sec
3270,-0.2599,0.3814,3.3722,0min0sec
3280,-0.2592,0.3804,3.3709,0min0sec
3290,-0.2584,0.3793,3.3696,0min0sec
3300,-0.2577,0.3783,3.3683,0min0sec
3310,-0.2570,0.3773,3.3671,0min0sec
3320,-0.2563,0.3763,3.3658,0min0sec
3330,-0.2556,0.3753,3.3646,0min0sec
3340,-0.2549,0.3743,3.3633,0min0sec
3350,-0.2542,0.3733,3.3621,0min0sec
3360,-0.2535,0.3723,3.3610,0min0sec
3370,-0.2528,0.3713,3.3597,0min0sec
3380,-0.2521,0.3703,3.3586,0min0sec
3390,-0.2514,0.3693,3.3574,0min0sec
3400,-0.2507,0.3684,3.3562,0min0sec
3410,-0.2500,0.3674,3.3549,0min0sec
3420,-0.2493,0.3665,3.3537,0min0sec
3430,-0.2487,0.3655,3.3526,0min0sec
3440,-0.2480,0.3646,3.3514,0min0sec
3450,-0.2473,0.3637,3.3503,0min0sec
3460,-0.2467,0.3628,3.3492,0min0sec
3470,-0.2460,0.3619,3.3480,0min0sec
3480,-0.2453,0.3609,3.3469,0min0sec
3490,-0.2447,0.3600,3.3457,0min0sec
3500,-0.2440,0.3591,3.3446,0min0sec
3510,-0.2434,0.3582,3.3435,0min0sec
3520,-0.2428,0.3572,3.3424,0min0sec
3530,-0.2422,0.3563,3.3412,0min0sec
3540,-0.2416,0.3554,3.3401,0min0sec
3550,-0.2409,0.3545,3.3390,0min0sec
3560,-0.2403,0.3536,3.3379,0min0sec
3570,-0.2397,0.3528,3.3369,0min0sec
3580,-0.2391,0.3519,3.3358,0min0sec
3590,-0.2385,0.3510,3.3347,0min0sec
3600,-0.2379,0.3502,3.3337,0min0sec
3610,-0.2372,0.3493,3.3326,0min0sec
3620,-0.2367,0.3484,3.3315,0min0sec
3630,-0.2360,0.3476,3.3305,0min0sec
3640,-0.2355,0.3467,3.3294,0min0sec
3650,-0.2349,0.3458,3.3284,0min0sec
3660,-0.2343,0.3450,3.3273,0min0sec
3670,-0.2337,0.3441,3.3263,0min0sec
3680,-0.2331,0.3433,3.3252,0min0sec
3690,-0.2325,0.3425,3.3242,0min0sec
3700,-0.2319,0.3416,3.3232,0min0sec
3710,-0.2314,0.3408,3.3222,0min0sec
3720,-0.2308,0.3400,3.3212,0min0sec
3730,-0.2302,0.3392,3.3202,0min0sec
3740,-0.2297,0.3384,3.3192,0min0sec
3750,-0.2291,0.3376,3.3182,0min0sec
3760,-0.2285,0.3368,3.3173,0min0sec
3770,-0.2280,0.3360,3.3163,0min0sec
3780,-0.2274,0.3352,3.3153,0min0sec
3790,-0.2269,0.3344,3.3143,0min0sec
3800,-0.2263,0.3336,3.3133,0min0sec
3810,-0.2258,0.3328,3.3123,0min0sec
3820,-0.2252,0.3320,3.3114,0min0sec
3830,-0.2247,0.3312,3.3104,0min0sec
3840,-0.2242,0.3305,3.3095,0min0sec
3850,-0.2237,0.3297,3.3086,0min0sec
3860,-0.2231,0.3289,3.3076,0min0sec
