step,actic loss,critic loss,average distance,time
2250,-0.1953,0.3880,3.2684,0min0sec
2260,-0.1946,0.3865,3.2660,0min0sec
2270,-0.1938,0.3850,3.2635,0min0sec
2280,-0.1931,0.3836,3.2612,0min0sec
2290,-0.1923,0.3821,3.2587,0min0sec
2300,-0.1916,0.3807,3.2563,0min0sec
2310,-0.1909,0.3792,3.2539,0min0sec
2320,-0.1902,0.3778,3.2515,0min0sec
2330,-0.1894,0.3764,3.2492,0min0sec
2340,-0.1887,0.3750,3.2469,0min0sec
2350,-0.1881,0.3736,3.2446,0min0sec
2360,-0.1874,0.3723,3.2423,0min0sec
2370,-0.1867,0.3709,3.2401,0min0sec
2380,-0.1860,0.3696,3.2379,0min0sec
2390,-0.1853,0.3682,3.2357,0min0sec
2400,-0.1846,0.3669,3.2336,0min0sec
2410,-0.1839,0.3656,3.2314,0min0sec
2420,-0.1832,0.3643,3.2292,0min0sec
2430,-0.1825,0.3629,3.2271,0min0sec
2440,-0.1819,0.3616,3.2249,0min0sec
2450,-0.1812,0.3604,3.2228,0min0sec
2460,-0.1805,0.3591,3.2207,0min0sec
2470,-0.1799,0.3578,3.2186,0min0sec
2480,-0.1793,0.3566,3.2166,0min0sec
2490,-0.1786,0.3553,3.2145,0min0sec
2500,-0.1780,0.3540,3.2124,0min0sec
2510,-0.1774,0.3528,3.2103,0min0sec
2520,-0.1767,0.3516,3.2083,0min0sec
2530,-0.1761,0.3503,3.2063,0min0sec
2540,-0.1755,0.3491,3.2043,0min0sec
2550,-0.1749,0.3479,3.2024,0min0sec
2560,-0.1743,0.3467,3.2005,0min0sec
2570,-0.1737,0.3455,3.1985,0min0sec
2580,-0.1731,0.3444,3.1966,0min0sec
2590,-0.1725,0.3432,3.1946,0min0sec
2600,-0.1720,0.3420,3.1927,0min0sec
2610,-0.1714,0.3409,3.1908,0min0sec
2620,-0.1708,0.3397,3.1890,0min0sec
2630,-0.1702,0.3386,3.1871,0min0sec
2640,-0.1696,0.3375,3.1853,0min0sec
2650,-0.1691,0.3363,3.1835,0min0sec
2660,-0.1685,0.3352,3.1816,0min0sec
2670,-0.1680,0.3341,3.1798,0min0sec
2680,-0.1674,0.3330,3.1780,0min0sec
2690,-0.1669,0.3319,3.1762,0min0sec
2700,-0.1663,0.3308,3.1745,0min0sec
2710,-0.1658,0.3297,3.1727,0min0sec
2720,-0.1652,0.3287,3.1710,0min0sec
2730,-0.1647,0.3276,3.1692,0min0sec
2740,-0.1641,0.3265,3.1675,0min0sec
2750,-0.1636,0.3255,3.1658,0min0sec
2760,-0.1631,0.3244,3.1641,0min0sec
2770,-0.1626,0.3234,3.1624,0min0sec
2780,-0.1621,0.3224,3.1607,0min0sec
